id,num_domain
101M_A,1
102L_A,1
102M_A,1
103L_A,1
103M_A,1
104L_A,1
104L_B,1
104M_A,1
105M_A,1
106M_A,1
107L_A,1
107M_A,1
108L_A,1
108M_A,1
109L_A,1
109M_A,1
10GS_A,2
10GS_B,2
10MH_A,2
110L_A,1
110M_A,1
111L_A,1
111M_A,1
112L_A,1
112M_A,1
113L_A,1
114L_A,1
115L_A,1
116L_A,1
116L_B,1
116L_C,1
116L_D,1
117E_A,1
117E_B,1
118L_A,1
119L_A,1
11AS_A,1
11AS_B,1
11BA_A,1
11BA_B,1
11BG_A,1
11BG_B,1
11GS_A,2
11GS_B,2
120L_A,1
121P_A,1
122L_A,1
123L_A,1
125D_0,1
125L_A,1
126L_A,1
127L_A,1
128L_A,1
129L_A,1
12AS_A,1
12AS_B,1
12CA_A,1
12E8_H,2
12E8_L,2
12E8_M,2
12E8_P,2
12GS_A,2
12GS_B,2
130L_A,1
131L_A,1
132L_A,1
133L_A,1
134L_A,1
135L_A,1
137L_A,1
137L_B,1
138L_A,1
139L_A,1
13GS_A,2
13GS_B,2
13PK_A,2
13PK_B,2
13PK_C,2
13PK_D,2
140L_A,1
141L_A,1
142L_A,1
143L_A,1
144L_A,1
145L_A,1
146L_A,1
147L_A,1
148L_E,1
149L_A,1
14GS_A,2
14GS_B,2
14PS_A,1
14PS_B,1
150L_A,1
150L_B,1
150L_C,1
150L_D,1
151L_A,1
152L_A,1
153L_A,1
154L_A,1
155C_A,1
155L_A,1
156L_A,1
157L_A,1
158L_A,1
159L_A,1
15C8_H,2
15C8_L,2
160L_A,1
161L_A,1
162L_A,1
163L_A,1
164L_A,1
165L_A,1
166L_A,1
167L_A,1
167L_B,1
168L_A,1
168L_B,1
168L_C,1
168L_D,1
168L_E,1
169L_A,1
169L_B,1
169L_C,1
169L_D,1
169L_E,1
16GS_A,2
16GS_B,2
16PK_A,2
16VP_A,1
170L_A,1
171L_A,1
172L_A,1
173L_A,1
174L_A,1
174L_B,1
175L_A,1
175L_B,1
176L_A,1
176L_B,1
177L_A,1
178L_A,1
179L_A,1
17GS_A,2
17GS_B,2
180L_A,1
180L_B,1
181L_A,1
182L_A,1
183L_A,1
184L_A,1
185L_A,1
186L_A,1
187L_A,1
188L_A,1
189L_A,1
18GS_A,2
18GS_B,2
190L_A,1
1914_A,1
191L_A,1
192L_A,1
193L_A,1
194L_A,1
195L_A,1
196L_A,1
197L_A,1
198L_A,1
199L_A,1
19GS_A,2
19GS_B,2
19HC_A,2
19HC_B,2
1A00_A,1
1A00_B,1
1A00_C,1
1A00_D,1
1A01_A,1
1A01_B,1
1A01_C,1
1A01_D,1
1A02_F,1
1A02_J,1
1A02_N,2
1A03_A,1
1A03_B,1
1A04_A,2
1A04_B,2
1A05_A,1
1A05_B,1
1A06_A,2
1A07_A,1
1A07_B,1
1A08_A,1
1A08_B,1
1A09_A,1
1A09_B,1
1A0A_A,1
1A0A_B,1
1A0B_A,1
1A0C_A,1
1A0C_B,1
1A0C_C,1
1A0C_D,1
1A0D_A,1
1A0D_B,1
1A0D_C,1
1A0D_D,1
1A0E_A,1
1A0E_D,1
1A0F_A,2
1A0F_B,2
1A0G_A,2
1A0G_B,2
1A0H_A,2
1A0H_B,2
1A0H_D,2
1A0H_E,2
1A0I_A,3
1A0J_A,2
1A0J_B,2
1A0J_C,2
1A0J_D,2
1A0K_A,1
1A0L_A,2
1A0L_B,2
1A0L_C,2
1A0L_D,2
1A0N_B,1
1A0O_A,1
1A0O_B,1
1A0O_C,1
1A0O_D,1
1A0O_E,1
1A0O_F,1
1A0O_G,1
1A0O_H,1
1A0P_A,2
1A0Q_H,2
1A0Q_L,2
1A0R_B,1
1A0R_G,1
1A0R_P,2
1A0S_P,1
1A0S_Q,1
1A0S_R,1
1A0T_P,1
1A0T_Q,1
1A0T_R,1
1A0U_A,1
1A0U_B,1
1A0U_C,1
1A0U_D,1
1A0V_A,1
1A0V_B,1
1A0V_C,1
1A0V_D,1
1A0W_A,1
1A0W_B,1
1A0W_C,1
1A0W_D,1
1A0X_A,1
1A0X_B,1
1A0X_C,1
1A0X_D,1
1A0Y_A,1
1A0Y_B,1
1A0Y_C,1
1A0Y_D,1
1A0Z_A,1
1A0Z_B,1
1A0Z_C,1
1A0Z_D,1
1A10_E,1
1A10_I,1
1A12_A,1
1A12_B,1
1A12_C,1
1A14_H,1
1A14_L,1
1A14_N,1
1A15_A,1
1A15_B,1
1A16_A,2
1A17_A,1
1A18_A,1
1A19_A,1
1A19_B,1
1A1A_A,1
1A1A_B,1
1A1B_A,1
1A1B_B,1
1A1C_A,1
1A1C_B,1
1A1E_A,1
1A1E_B,1
1A1F_A,3
1A1G_A,3
1A1H_A,3
1A1I_A,3
1A1J_A,3
1A1K_A,3
1A1L_A,3
1A1M_A,2
1A1M_B,1
1A1N_A,2
1A1N_B,1
1A1O_A,2
1A1O_B,1
1A1R_A,2
1A1R_B,2
1A1S_A,2
1A1T_A,1
1A1V_A,3
1A1W_A,1
1A1X_A,1
1A1Y_E,1
1A1Y_I,1
1A1Z_A,1
1A21_A,2
1A21_B,2
1A22_A,1
1A22_B,2
1A23_A,1
1A24_A,1
1A25_A,1
1A25_B,1
1A26_A,2
1A27_A,1
1A28_A,1
1A28_B,1
1A29_A,1
1A2A_A,1
1A2A_B,1
1A2A_C,1
1A2A_D,1
1A2A_E,1
1A2A_F,1
1A2A_G,1
