,Model,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D,Target
0,model_4_ptm_seed_0_rec_8_ens_8,0.639552,0.6796760000000001,0.91579,0.756946,7DW4_A
1,model_2_seed_1_rec_9_ens_8,0.66177,0.694138,0.9214530000000001,0.780323,7DW4_A
2,model_1_seed_0_rec_8_ens_8,0.6666449999999999,0.696619,0.923926,0.791067,7DW4_A
3,model_1_seed_1_rec_7_ens_1,0.679142,0.712641,0.928257,0.806509,7DW4_A
4,model_4_ptm_seed_1_rec_6_ens_1,0.616858,0.6556270000000001,0.9101469999999999,0.74747,7DW4_A
5,model_1_seed_1_rec_2_ens_8,0.654493,0.700277,0.923401,0.7936880000000001,7DW4_A
6,model_4_seed_0_rec_4_ens_1,0.648748,0.6842520000000001,0.920114,0.776722,7DW4_A
7,model_2_ptm_seed_1_rec_9_ens_1,0.653848,0.684213,0.9201,0.7750090000000001,7DW4_A
8,model_2_ptm_seed_0_rec_8_ens_8,0.639937,0.68077,0.9204629999999999,0.777007,7DW4_A
9,model_5_ptm_seed_1_rec_1_ens_1,0.6502399999999999,0.711291,0.912716,0.7812399999999999,7DW4_A
10,model_1_ptm_seed_1_rec_1_ens_1,0.623216,0.6686270000000001,0.9056290000000001,0.765281,7DW4_A
11,model_4_seed_1_rec_3_ens_1,0.661931,0.698377,0.9221590000000001,0.790668,7DW4_A
12,model_3_seed_1_rec_4_ens_8,0.656331,0.6926260000000001,0.920643,0.777302,7DW4_A
13,model_1_seed_1_rec_9_ens_8,0.686074,0.7125,0.927536,0.808429,7DW4_A
14,model_5_ptm_seed_1_rec_7_ens_8,0.6544800000000001,0.7021729999999999,0.917694,0.7820739999999999,7DW4_A
15,model_1_seed_1_rec_8_ens_8,0.694681,0.720515,0.929599,0.8163729999999999,7DW4_A
16,model_2_seed_1_rec_10_ens_1,0.634473,0.681836,0.9159379999999999,0.769404,7DW4_A
17,model_2_ptm_seed_1_rec_7_ens_1,0.6550060000000001,0.686292,0.920768,0.7770640000000001,7DW4_A
18,model_3_ptm_seed_0_rec_5_ens_1,0.63181,0.687995,0.92009,0.769546,7DW4_A
19,model_5_seed_0_rec_9_ens_8,0.64805,0.6936760000000001,0.922424,0.772446,7DW4_A
20,model_3_ptm_seed_0_rec_8_ens_8,0.631112,0.6773239999999999,0.9129219999999999,0.756958,7DW4_A
21,model_3_ptm_seed_1_rec_4_ens_8,0.646533,0.68876,0.915808,0.767791,7DW4_A
22,model_1_seed_0_rec_7_ens_1,0.678344,0.708464,0.926272,0.80007,7DW4_A
23,model_5_seed_0_rec_7_ens_8,0.648846,0.69153,0.9214530000000001,0.773576,7DW4_A
24,model_3_seed_0_rec_2_ens_8,0.647562,0.6931069999999999,0.919608,0.780706,7DW4_A
25,model_5_ptm_seed_0_rec_5_ens_1,0.6567109999999999,0.699697,0.9190010000000001,0.778144,7DW4_A
26,model_5_ptm_seed_1_rec_2_ens_1,0.668844,0.715275,0.916429,0.79269,7DW4_A
27,model_5_ptm_seed_0_rec_3_ens_1,0.6368590000000001,0.6890029999999999,0.910466,0.76537,7DW4_A
28,model_3_ptm_seed_0_rec_9_ens_8,0.624499,0.681805,0.9145409999999999,0.7568729999999999,7DW4_A
29,model_5_ptm_seed_0_rec_3_ens_8,0.652601,0.700765,0.916276,0.77854,7DW4_A
30,model_4_ptm_seed_1_rec_7_ens_8,0.6477539999999999,0.687447,0.9182620000000001,0.774542,7DW4_A
31,model_5_seed_1_rec_8_ens_1,0.641364,0.686821,0.9206059999999999,0.76773,7DW4_A
32,model_1_seed_0_rec_9_ens_8,0.655396,0.693527,0.9248040000000001,0.784165,7DW4_A
33,model_1_ptm_seed_1_rec_10_ens_1,0.657042,0.690287,0.921581,0.79256,7DW4_A
34,model_5_ptm_seed_1_rec_5_ens_1,0.639406,0.693922,0.912916,0.764008,7DW4_A
35,model_3_ptm_seed_0_rec_2_ens_1,0.659855,0.697631,0.914301,0.7843180000000001,7DW4_A
36,model_4_ptm_seed_1_rec_8_ens_8,0.630718,0.67433,0.9144680000000001,0.7582949999999999,7DW4_A
37,model_1_ptm_seed_1_rec_5_ens_1,0.635937,0.676769,0.913315,0.7752760000000001,7DW4_A
38,model_1_ptm_seed_0_rec_2_ens_1,0.6674770000000001,0.697162,0.921609,0.804088,7DW4_A
39,model_3_ptm_seed_0_rec_3_ens_1,0.62968,0.681632,0.9128709999999999,0.7744300000000001,7DW4_A
40,model_5_seed_0_rec_8_ens_8,0.6362260000000001,0.686472,0.919091,0.764264,7DW4_A
41,model_3_ptm_seed_0_rec_4_ens_1,0.637131,0.6898529999999999,0.9199649999999999,0.7761680000000001,7DW4_A
42,model_2_seed_0_rec_10_ens_8,0.655895,0.689654,0.9222090000000001,0.771917,7DW4_A
43,model_5_ptm_seed_1_rec_8_ens_8,0.657559,0.701806,0.917903,0.7774800000000001,7DW4_A
44,model_4_ptm_seed_0_rec_8_ens_1,0.657741,0.687333,0.9169229999999999,0.775604,7DW4_A
45,model_5_seed_1_rec_1_ens_1,0.652144,0.704092,0.917167,0.7812979999999999,7DW4_A
46,model_2_seed_0_rec_5_ens_8,0.6587729999999999,0.691399,0.9227780000000001,0.782556,7DW4_A
47,model_1_ptm_seed_1_rec_9_ens_8,0.6466189999999999,0.685602,0.9180790000000001,0.785591,7DW4_A
48,model_5_ptm_seed_0_rec_1_ens_8,0.647099,0.705116,0.911209,0.770742,7DW4_A
49,model_2_seed_0_rec_5_ens_1,0.6653899999999999,0.693797,0.9216799999999999,0.788514,7DW4_A
50,model_1_ptm_seed_1_rec_6_ens_1,0.663872,0.691347,0.924473,0.793874,7DW4_A
51,model_5_ptm_seed_0_rec_7_ens_8,0.670704,0.7108399999999999,0.922032,0.793996,7DW4_A
52,model_5_seed_0_rec_3_ens_1,0.638991,0.683818,0.918111,0.7721399999999999,7DW4_A
53,model_2_ptm_seed_0_rec_7_ens_1,0.642962,0.677934,0.919141,0.7755380000000001,7DW4_A
54,model_1_seed_1_rec_10_ens_8,0.672388,0.70887,0.925693,0.800963,7DW4_A
55,model_5_seed_0_rec_3_ens_8,0.650998,0.69543,0.922715,0.78257,7DW4_A
56,model_4_seed_1_rec_10_ens_8,0.645345,0.679239,0.9176049999999999,0.766493,7DW4_A
57,model_2_seed_0_rec_7_ens_1,0.658356,0.6901229999999999,0.920803,0.780726,7DW4_A
58,model_1_seed_0_rec_10_ens_1,0.691392,0.719313,0.928701,0.8126869999999999,7DW4_A
59,model_5_ptm_seed_1_rec_4_ens_8,0.657945,0.704608,0.9191590000000001,0.7906310000000001,7DW4_A
60,model_2_seed_1_rec_2_ens_8,0.6642640000000001,0.698038,0.92074,0.789732,7DW4_A
61,model_1_seed_1_rec_1_ens_8,0.678372,0.712472,0.9248190000000001,0.808013,7DW4_A
62,model_3_ptm_seed_1_rec_8_ens_1,0.640987,0.685341,0.915969,0.763401,7DW4_A
63,model_5_ptm_seed_1_rec_9_ens_1,0.650523,0.704879,0.919273,0.782098,7DW4_A
64,model_3_seed_0_rec_10_ens_8,0.6559619999999999,0.695303,0.9214969999999999,0.779169,7DW4_A
65,model_5_seed_1_rec_6_ens_1,0.655812,0.698347,0.9249149999999999,0.777911,7DW4_A
66,model_5_seed_1_rec_2_ens_8,0.672988,0.7029489999999999,0.9264040000000001,0.796399,7DW4_A
67,model_4_seed_0_rec_5_ens_1,0.650327,0.684251,0.9216290000000001,0.774573,7DW4_A
68,model_4_ptm_seed_1_rec_9_ens_1,0.65384,0.690929,0.921115,0.782237,7DW4_A
69,model_4_ptm_seed_0_rec_1_ens_8,0.639234,0.6886909999999999,0.9127549999999999,0.772857,7DW4_A
70,model_1_ptm_seed_1_rec_3_ens_8,0.642289,0.67974,0.9148379999999999,0.778252,7DW4_A
71,model_4_ptm_seed_1_rec_7_ens_1,0.663483,0.694078,0.9233020000000001,0.786927,7DW4_A
72,model_3_seed_1_rec_8_ens_1,0.636252,0.680244,0.913344,0.767564,7DW4_A
73,model_1_ptm_seed_1_rec_6_ens_8,0.649476,0.683573,0.9190510000000001,0.785651,7DW4_A
74,model_3_seed_1_rec_10_ens_8,0.658028,0.694604,0.921884,0.779704,7DW4_A
75,model_3_seed_1_rec_9_ens_1,0.658648,0.694184,0.920568,0.780775,7DW4_A
76,model_2_seed_1_rec_5_ens_1,0.667988,0.705159,0.9253870000000001,0.7941630000000001,7DW4_A
77,model_4_seed_1_rec_10_ens_1,0.648054,0.680736,0.915956,0.771774,7DW4_A
78,model_1_ptm_seed_1_rec_4_ens_1,0.671479,0.6995779999999999,0.9246059999999999,0.807551,7DW4_A
79,model_1_ptm_seed_0_rec_8_ens_1,0.6644869999999999,0.688766,0.9227620000000001,0.793701,7DW4_A
80,model_1_seed_1_rec_8_ens_1,0.654521,0.702543,0.9227129999999999,0.786891,7DW4_A
81,model_2_seed_0_rec_4_ens_8,0.62985,0.668519,0.917049,0.763763,7DW4_A
82,model_2_seed_1_rec_6_ens_8,0.6730079999999999,0.7069439999999999,0.926286,0.8008270000000001,7DW4_A
83,model_2_ptm_seed_0_rec_4_ens_1,0.648301,0.678045,0.91779,0.776118,7DW4_A
84,model_2_ptm_seed_0_rec_3_ens_8,0.680714,0.702079,0.9269440000000001,0.805171,7DW4_A
85,model_3_ptm_seed_1_rec_9_ens_8,0.6379,0.684679,0.917687,0.764472,7DW4_A
86,model_1_seed_1_rec_5_ens_1,0.664259,0.700697,0.920104,0.789744,7DW4_A
87,model_4_seed_0_rec_3_ens_8,0.6690729999999999,0.6991970000000001,0.9262809999999999,0.796296,7DW4_A
88,model_4_ptm_seed_0_rec_10_ens_8,0.646105,0.6847840000000001,0.9187639999999999,0.773075,7DW4_A
89,model_1_ptm_seed_1_rec_1_ens_8,0.61445,0.663424,0.9066559999999999,0.762862,7DW4_A
90,model_2_ptm_seed_0_rec_4_ens_8,0.670428,0.69699,0.926192,0.799288,7DW4_A
91,model_1_seed_0_rec_5_ens_1,0.6738460000000001,0.705512,0.924206,0.799434,7DW4_A
92,model_4_ptm_seed_0_rec_6_ens_1,0.6488970000000001,0.6835939999999999,0.912378,0.766945,7DW4_A
93,model_5_seed_1_rec_8_ens_8,0.641311,0.689735,0.919868,0.765638,7DW4_A
94,model_4_ptm_seed_0_rec_9_ens_1,0.681854,0.702498,0.9229940000000001,0.7977310000000001,7DW4_A
95,model_4_ptm_seed_0_rec_4_ens_1,0.657758,0.696886,0.920169,0.78364,7DW4_A
96,model_2_seed_1_rec_8_ens_8,0.6752600000000001,0.7085239999999999,0.9270229999999999,0.796732,7DW4_A
97,model_3_seed_1_rec_4_ens_1,0.657605,0.693041,0.920942,0.7790100000000001,7DW4_A
98,model_3_seed_1_rec_7_ens_8,0.661567,0.699112,0.922317,0.785129,7DW4_A
99,model_2_ptm_seed_1_rec_4_ens_8,0.638312,0.6796260000000001,0.918974,0.771778,7DW4_A
100,model_4_ptm_seed_1_rec_2_ens_1,0.6452359999999999,0.689613,0.916892,0.77768,7DW4_A
101,model_5_ptm_seed_1_rec_10_ens_8,0.631795,0.690608,0.912069,0.760004,7DW4_A
102,model_4_seed_1_rec_1_ens_8,0.650942,0.692299,0.9202030000000001,0.780768,7DW4_A
103,model_1_seed_0_rec_5_ens_8,0.651505,0.690779,0.923208,0.784429,7DW4_A
104,model_3_seed_1_rec_9_ens_8,0.663432,0.698421,0.923005,0.784628,7DW4_A
105,model_4_ptm_seed_1_rec_1_ens_1,0.649835,0.695538,0.916897,0.777525,7DW4_A
106,model_2_ptm_seed_1_rec_3_ens_1,0.639528,0.6790619999999999,0.917366,0.77174,7DW4_A
107,model_5_seed_0_rec_9_ens_1,0.632189,0.67606,0.9173819999999999,0.760679,7DW4_A
108,model_1_seed_1_rec_7_ens_8,0.67716,0.709109,0.9272379999999999,0.800583,7DW4_A
109,model_1_ptm_seed_1_rec_8_ens_8,0.645605,0.684465,0.9184209999999999,0.782356,7DW4_A
110,model_1_ptm_seed_1_rec_2_ens_8,0.665854,0.691404,0.921436,0.804071,7DW4_A
111,model_2_ptm_seed_0_rec_9_ens_8,0.6682859999999999,0.697293,0.927532,0.797233,7DW4_A
112,model_3_ptm_seed_1_rec_8_ens_8,0.651844,0.688063,0.918183,0.771929,7DW4_A
113,model_5_ptm_seed_0_rec_9_ens_1,0.6585529999999999,0.69795,0.919278,0.779604,7DW4_A
114,model_5_seed_0_rec_2_ens_8,0.664985,0.700274,0.924743,0.7916350000000001,7DW4_A
115,model_2_seed_0_rec_1_ens_8,0.671519,0.703904,0.922423,0.7935800000000001,7DW4_A
116,model_1_seed_1_rec_6_ens_1,0.6542439999999999,0.6934680000000001,0.9193459999999999,0.77952,7DW4_A
117,model_4_seed_1_rec_2_ens_1,0.655221,0.6946720000000001,0.920795,0.7882170000000001,7DW4_A
118,model_4_seed_0_rec_1_ens_1,0.656813,0.700155,0.9215459999999999,0.790473,7DW4_A
119,model_4_ptm_seed_0_rec_10_ens_1,0.643675,0.673413,0.9115629999999999,0.759966,7DW4_A
120,model_3_ptm_seed_1_rec_5_ens_8,0.634484,0.679401,0.9136489999999999,0.762971,7DW4_A
121,model_1_seed_1_rec_3_ens_8,0.665579,0.7036789999999999,0.923724,0.7951729999999999,7DW4_A
122,model_2_seed_1_rec_8_ens_1,0.674126,0.708052,0.9268930000000001,0.795221,7DW4_A
123,model_3_ptm_seed_0_rec_6_ens_1,0.655501,0.696367,0.920507,0.786075,7DW4_A
124,model_4_ptm_seed_0_rec_4_ens_8,0.643742,0.684142,0.918436,0.772928,7DW4_A
125,model_4_seed_0_rec_8_ens_1,0.651113,0.683855,0.9179870000000001,0.774525,7DW4_A
126,model_4_ptm_seed_1_rec_5_ens_1,0.648302,0.684317,0.9196,0.7732289999999999,7DW4_A
127,model_3_seed_0_rec_7_ens_8,0.66371,0.69804,0.9229649999999999,0.783984,7DW4_A
128,model_3_ptm_seed_1_rec_1_ens_8,0.63268,0.684438,0.9082629999999999,0.763706,7DW4_A
129,model_5_ptm_seed_0_rec_10_ens_1,0.6363340000000001,0.685888,0.9127620000000001,0.7659229999999999,7DW4_A
130,model_5_seed_0_rec_4_ens_1,0.630728,0.682968,0.917545,0.7635850000000001,7DW4_A
131,model_3_seed_0_rec_8_ens_8,0.653694,0.6959390000000001,0.9220959999999999,0.7769729999999999,7DW4_A
132,model_2_seed_0_rec_1_ens_1,0.652981,0.696001,0.917892,0.788223,7DW4_A
133,model_3_ptm_seed_0_rec_1_ens_8,0.628321,0.679901,0.903459,0.765775,7DW4_A
134,model_1_ptm_seed_0_rec_5_ens_1,0.6419199999999999,0.685395,0.919167,0.783077,7DW4_A
135,model_5_seed_1_rec_5_ens_8,0.629125,0.68181,0.917112,0.759375,7DW4_A
136,model_4_ptm_seed_1_rec_4_ens_8,0.613358,0.64595,0.9098299999999999,0.7480399999999999,7DW4_A
137,model_1_seed_0_rec_1_ens_8,0.665975,0.702737,0.921077,0.796662,7DW4_A
138,model_3_seed_0_rec_10_ens_1,0.659076,0.696036,0.922164,0.776791,7DW4_A
