,Neff,NumMSA,Target
0,9570,15080,6AN4_A
1,8090,16217,5ZHE_A
2,7746,14530,6DCR_A
3,5634,8249,6D57_A
4,2821,8526,5ZCT_A
5,8277,14279,6IYB_A
6,1902,5720,6PXX_B
7,3333,8057,6P58_A
8,1005,1857,7CIW_A
9,5,11,6EXU_A
10,3096,8085,6ROY_A
11,2527,10656,6S9A_A
12,303,1440,6YJ9_A
13,1407,3031,6ZW8_A
14,11661,21293,6SP9_A
15,2694,8303,6X8H_A
16,6064,17232,6LH7_A
17,4010,9921,7LJ5_A
18,488,1830,7CMZ_A
19,6801,12167,6FG0_A
20,11268,15624,6ZZO_A
21,134,484,6URY_A
22,140,2764,6XWK_BBB
23,9172,16050,6RTR_B
24,4880,9789,6F4J_D
25,42,513,5Y18_A
26,4467,9122,5Z49_B
27,1321,5686,6FRR_A
28,4301,8067,6BQA_A
29,1320,2143,7EG3_P
30,1070,4011,6LB7_A
31,9478,15402,6Z4W_A
32,686,3527,6S5K_A
33,123,495,6Q8G_C
34,5585,10626,6W39_A
35,3662,14123,7LDA_A
36,1529,5728,6K92_A
37,4888,13876,7C8N_A
38,975,3650,6R09_A
39,1328,6524,6IBE_A
40,503,897,6JRD_A
41,58,2263,6LFF_A
42,1604,5979,6D0S_A
43,765,2459,6IUX_A
44,4929,9604,6I8V_A
45,621,1679,7RVA_C
46,157,742,5YK5_C
47,2389,5264,7DV7_B
48,1076,3946,7BER_A
49,6008,8746,7C8S_A
50,3082,6994,5QII_A
51,488,1103,6RA3_A
52,2007,4879,7CRG_A
53,3258,10228,6XOG_A
54,50,79,7A8S_A
55,405,890,6OAR_A
56,1030,6228,6XM2_I
57,2493,8405,5ZCY_A
58,4236,11080,6HY1_A
59,2488,10416,6YA1_A
60,128,943,6FAK_A
61,5763,9283,6PPX_A
62,5326,7827,7NTJ_B
63,3132,9465,5ZOE_A
64,1513,4451,6U1M_A
65,8925,14879,6X5G_A
66,1151,2064,6IIY_A
67,1038,2731,7MQ5_A
68,102,186,6JZJ_A
69,3449,9506,6OCR_C
70,606,1736,6AWI_A
71,7209,9615,7DVO_A
72,4464,19595,6VPB_A
73,8677,15934,5Z0A_A
74,4769,9390,6YX0_A
75,773,4767,7CBD_A
76,15,180,6TRK_A
77,916,2306,5ZGX_A
78,7921,11790,6WR1_A
79,5792,9795,6NW2_A
80,1749,3886,6H2R_A
81,3208,9207,6ITA_A
82,615,1700,5Z78_A
83,1779,7613,6Y0Q_A
84,9335,19005,6NYO_E
85,482,2778,6M64_A
86,2220,6510,7L4C_A
87,4118,11940,7B1V_B
88,13072,22108,6EM7_A
89,2283,11236,6NQ6_B
90,5932,12124,6OP8_A
91,3477,11950,6HAF_A
92,4280,9864,7CYX_A
93,735,1993,7CNE_A
94,9396,15971,6MKE_A
95,4259,13463,6XPB_B
96,1254,10047,6XPP_D
97,6776,13101,6HPH_A
98,2410,9116,6UFI_A
99,2571,7525,6NKC_A
100,3872,9117,7CUO_A
101,888,4273,6K9D_A
102,8717,13218,6YQ0_AAA
103,726,4287,6S62_A
104,2088,8635,6N6J_B
105,688,3519,6K9H_A
106,8913,13889,7AX7_A
107,178,2365,6O5O_A
108,2899,6757,5OND_A
109,6538,13979,6IZ9_A
110,5440,15708,7COH_O
111,795,2016,6LCH_A
112,4806,11225,5BKE_A
113,9469,19130,6G2V_A
114,510,1347,6VPA_A
115,2510,10645,6AGM_A
116,2785,5450,6NJ0_A
117,10600,17549,5OIU_A
118,2936,10258,6E7I_A
119,149,754,6DCJ_A
120,2135,13972,6PO0_A
121,3428,11346,6H26_A
122,3476,13236,6GHJ_A
123,596,2264,6JFK_A
124,3291,7690,6DHP_u
125,1793,7468,6YRD_F
126,4243,10777,7L27_A
127,546,2514,5ZCG_C
128,6391,12427,6IPY_A
129,46,91,6Z5H_AAA
130,2473,7505,7N71_A
131,471,1191,6GTZ_A
132,264,1507,6P3X_A
133,6734,19667,6N9B_A
134,2532,7193,5NGX_A
135,5725,17985,6Z4N_AAA
136,9587,19456,6FBC_A
137,1845,6424,6JF1_A
138,1582,9692,6XHV_1k
139,3977,10281,6F8N_A
140,4368,16172,7CGU_A
141,5840,10932,6DVS_A
142,794,1727,6I6R_A
143,16,375,6WXD_A
144,923,3775,6QGR_A
145,796,3228,6DOP_A
146,2853,7141,6PNV_A
147,79,1205,6Q9Y_B
148,93,1771,6CZQ_B
149,2579,8555,5XLN_A
150,2369,6111,6ZYL_A
151,593,1957,6HFO_A
152,3389,6842,6INF_A
153,3583,11458,6F7H_A
154,26,94,6LH8_A
155,465,3082,6XPJ_A
156,97,174,6UPS_A
157,37,130,6T3X_A
158,762,2623,6WVH_A
159,6481,13835,7CBO_A
160,6538,13842,6DHV_A
161,819,1122,6IJ1_A
162,5829,13176,7EXS_A
163,483,841,6J03_A
164,5839,14277,6LGI_B
165,30,141,6H3S_B
166,571,1774,6ER4_A
167,56,68,7N50_A
168,1035,1790,7KB2_A
169,597,1973,6DKN_A
170,1,10,5VTL_A
171,1963,4754,6NES_A
172,2,15,6Z4U_A
173,762,1751,6WM6_A
174,14513,19894,6TJB_B
175,205,473,5ZMO_A
176,2239,5833,6XAY_A
177,2713,7681,6SW4_A
178,673,2864,6H24_A
179,72,133,7E5T_A
180,6746,10042,6H7E_A
181,157,1275,7CTP_A
182,190,746,5Y6H_A
183,204,864,6P5Q_A
184,7344,13199,7N6S_F
185,7981,15789,7CFH_A
186,2188,5047,6NOP_B
187,66,185,6XYA_B
188,6694,12452,6PH2_A
189,49,93,6MRN_A
190,44,132,6DB1_A
191,157,594,6NLY_B
192,394,1621,6BSU_A
193,401,1603,6S4C_A
194,65,283,7A56_A
195,5964,9269,6R62_A
196,1046,2436,7K34_A
197,764,1483,6IS9_A
198,4900,11134,6VG1_A
199,5587,14381,5R61_A
200,627,1495,6I1M_A
201,947,1565,6AD3_A
202,122,156,6W3G_A
203,515,1369,5ZJ4_A
204,4154,10543,6Y0K_AAA
205,764,1705,6TJA_A
206,2460,8857,7E36_A
207,732,1857,6JZY_A
208,758,2573,7CC7_A
209,2534,7194,6HPF_A
210,3286,8416,6RS4_A
211,292,858,6I8X_A
212,736,4304,5QS9_A
213,971,2030,6E0O_A
214,102,257,5XP0_A
215,1519,3962,7CV7_A
216,435,1338,6JD5_A
217,63,132,6T8D_X
218,366,960,7M5F_C
219,233,1148,6S2W_B
220,251,480,6D2Y_A
221,2,2,7EL1_E
222,1344,2487,6QRL_A
223,605,2899,6NZ4_A
224,258,1063,6HXV_A
225,23,444,7CM1_B
226,41,51,6OAW_A
227,1974,5275,6HLK_A
228,6922,13829,6HHM_A
229,1320,3624,6VZY_A
230,903,1873,7KH2_A
231,8315,14607,6OAP_A
232,2683,6890,6L3F_A
233,1322,2611,6HFZ_A
234,567,2478,6LM1_A
235,2768,7806,6GT9_A
236,338,1004,5BKA_B
237,7412,10682,6U5L_A
238,496,1783,6Y4L_B
239,332,578,7RTY_A
240,1522,6707,6I6H_A
241,406,2116,6JWJ_A
242,2296,6688,6NVP_A
243,1,3,6DS9_A
244,50,151,7A9X_A
245,4700,12642,6T85_A
246,339,1181,6NTT_A
247,12,23,6RRV_A
248,6785,12902,6ZE6_A
249,61,1460,7B1S_A
250,1785,3287,6JU8_A
251,2,4,6EJQ_A
252,1641,3335,7CLU_A
253,514,1253,6P78_A
254,1939,7145,6LIR_A
255,363,2662,7KIH_A
256,8320,9413,6P61_A
257,364,2017,6VME_E
258,16,23,6G45_A
259,1390,5705,6LG2_A
260,5431,7900,6SRT_A
261,6689,11960,5ZVE_B
262,121,1111,7LCZ_A
263,5955,10450,6XOD_A
264,6,23,6RO0_B
265,1263,3710,7BZI_H
266,6561,11245,6G71_A
267,4260,6504,7M97_A
268,146,257,7KCG_A
269,4313,10085,6GIT_A
270,351,640,6N1F_A
271,405,2182,6SL6_A
272,623,1342,6XCQ_A
273,3778,9750,6UI5_A
274,164,265,6W40_A
275,22,31,6G44_A
276,2770,8485,7CT4_A
277,2805,7798,6CEQ_A
278,264,2278,6IW3_A
279,1522,3045,6E60_A
280,866,7657,6E2J_A
281,304,460,5Z6V_A
282,1005,5422,6H7B_A
283,5734,8788,5ZQA_A
284,61,146,5Y24_A
285,137,218,6SCF_A
286,907,2880,7B2S_A
287,5785,10928,6GYT_A
288,1445,7350,6HIU_B
289,40,119,6GUS_A
290,1538,4827,6IN9_A
291,1561,2853,5ZM4_A
292,678,1454,5YI6_A
293,1126,2800,6GJE_A
294,566,1824,7BK8_A
295,4660,8356,6SRN_A
296,6239,10911,7NUU_A
297,215,456,7P2J_A
298,635,4555,6KZ7_B
299,5309,8358,6Y24_A
